codec_combo,file_name,codec1_codec,codec1_aac_bitrate,codec2_codec,codec2_gsm_bitrate,codec2_highpass_filter,codec1_bitrate,codec2_bitrate,codec1_opus_bitrate,codec1_gsm_bitrate,codec1_highpass_filter,codec2_opus_bitrate,codec2_aac_bitrate,codec1_mp3_bitrate,codec2_mp3_bitrate
GSM-MP3,ex01_default_emphasis_00031.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,96k
GSM-AAC,ex01_default_00188.wav,GSM,,AAC,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,32k,,
OPUS-MP3,ex01_default_emphasis_00041.wav,OPUS,,MP3,,,,,32k,,,,,,40k
GSM-ALAW,ex02_default_00001.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-MP3,ex01_default_00088.wav,AAC,56k,MP3,,,,,,,,,,,48k
AAC-OPUS,ex01_default_00306.wav,AAC,48k,OPUS,,,,,,,,5k,,,
MULAW-AAC,ex02_default_00030.wav,MULAW,,AAC,,,64k,,,,,,56k,,
MP3-MULAW,ex01_default_00254.wav,MP3,,MULAW,,,,64k,,,,,,80k,
GSM-MP3,ex01_default_00235.wav,GSM,,MP3,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,8k
MP3-GSM,ex01_default_00144.wav,MP3,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,80k,
AAC-OPUS,ex01_default_emphasis_00061.wav,AAC,56k,OPUS,,,,,,,,96k,,,
AAC-MULAW,ex01_default_emphasis_00125.wav,AAC,48k,MULAW,,,,64k,,,,,,,
MP3-AAC,ex01_default_00203.wav,MP3,,AAC,,,,,,,,,56k,48k,
AAC-GSM,ex01_default_emphasis_00093.wav,AAC,56k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
GSM-ALAW,ex01_default_00276.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-GSM,ex01_default_emphasis_00097.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,32k,,,,,,
ALAW-AAC,ex01_default_emphasis_00056.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,40k,,
OPUS-ALAW,ex01_default_emphasis_00025.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,96k,,,,,,
GSM-MP3,ex01_default_00236.wav,GSM,,MP3,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,8k
OPUS-MULAW,ex01_default_00241.wav,OPUS,,MULAW,,,,64k,96k,,,,,,
ALAW-OPUS,ex01_default_emphasis_00174.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",8k,,,
OPUS-MP3,ex01_default_00302.wav,OPUS,,MP3,,,,,8k,,,,,,48k
ALAW-GSM,ex01_default_00243.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-AAC,ex01_default_emphasis_00158.wav,GSM,,AAC,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,80k,,
MP3-MULAW,ex01_default_00263.wav,MP3,,MULAW,,,,64k,,,,,,80k,
MULAW-GSM,ex01_default_00176.wav,MULAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
OPUS-AAC,ex01_default_emphasis_00143.wav,OPUS,,AAC,,,,,16k,,,,64k,,
AAC-MULAW,ex01_default_00242.wav,AAC,80k,MULAW,,,,64k,,,,,,,
ALAW-AAC,ex01_default_emphasis_00043.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,48k,,
AAC-MULAW,ex01_default_emphasis_00152.wav,AAC,56k,MULAW,,,,64k,,,,,,,
ALAW-OPUS,ex01_default_00163.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",5k,,,
MULAW-MP3,ex01_default_00215.wav,MULAW,,MP3,,,64k,,,,,,,,48k
MP3-ALAW,ex01_default_00309.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,40k,
AAC-GSM,ex01_default_emphasis_00155.wav,AAC,32k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
GSM-AAC,ex01_default_00039.wav,GSM,,AAC,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,48k,,
OPUS-MP3,ex01_default_00138.wav,OPUS,,MP3,,,,,8k,,,,,,48k
OPUS-ALAW,ex01_default_00124.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,16k,,,,,,
OPUS-ALAW,ex01_default_00369.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,64k,,,,,,
AAC-GSM,ex01_default_emphasis_00146.wav,AAC,80k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
OPUS-MULAW,ex01_default_00149.wav,OPUS,,MULAW,,,,64k,24k,,,,,,
OPUS-GSM,ex01_default_00049.wav,OPUS,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,16k,,,,,,
ALAW-OPUS,ex01_default_00032.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",96k,,,
AAC-MULAW,ex01_default_emphasis_00094.wav,AAC,96k,MULAW,,,,64k,,,,,,,
AAC-GSM,ex01_default_00106.wav,AAC,80k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
AAC-OPUS,ex01_default_emphasis_00075.wav,AAC,64k,OPUS,,,,,,,,8k,,,
ALAW-MULAW,ex01_default_essentials_00039.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-GSM,ex01_default_emphasis_00020.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,5k,,,,,,
ALAW-OPUS,ex02_default_00009.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",96k,,,
MULAW-OPUS,ex01_default_00169.wav,MULAW,,OPUS,,,64k,,,,,96k,,,
AAC-GSM,ex01_default_essentials_00013.wav,AAC,48k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
MULAW-ALAW,ex01_default_00328.wav,MULAW,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",64k,64k,,,,,,,
ALAW-MULAW,ex01_default_00115.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MP3-AAC,ex01_default_emphasis_00002.wav,MP3,,AAC,,,,,,,,,32k,40k,
MP3-OPUS,ex02_default_00019.wav,MP3,,OPUS,,,,,,,,64k,,8k,
OPUS-AAC,ex01_default_emphasis_00156.wav,OPUS,,AAC,,,,,8k,,,,80k,,
ALAW-MULAW,ex01_default_emphasis_00007.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-AAC,ex01_default_00078.wav,MULAW,,AAC,,,64k,,,,,,96k,,
ALAW-MULAW,ex01_default_00151.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MP3-MULAW,ex01_default_00307.wav,MP3,,MULAW,,,,64k,,,,,,40k,
OPUS-ALAW,ex01_default_00338.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,96k,,,,,,
MULAW-GSM,ex01_default_00231.wav,MULAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
MULAW-OPUS,ex01_default_00228.wav,MULAW,,OPUS,,,64k,,,,,5k,,,
OPUS-ALAW,ex01_default_emphasis_00120.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,24k,,,,,,
OPUS-ALAW,ex01_default_00310.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,16k,,,,,,
ALAW-AAC,ex01_default_00013.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,64k,,
ALAW-OPUS,ex01_default_00366.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",5k,,,
AAC-MP3,ex01_default_00214.wav,AAC,40k,MP3,,,,,,,,,,,48k
OPUS-GSM,ex01_default_00162.wav,OPUS,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,64k,,,,,,
MP3-GSM,ex01_default_emphasis_00032.wav,MP3,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,32k,
OPUS-MULAW,ex01_default_00354.wav,OPUS,,MULAW,,,,64k,96k,,,,,,
MP3-MULAW,ex01_default_emphasis_00049.wav,MP3,,MULAW,,,,64k,,,,,,24k,
MP3-GSM,ex01_default_emphasis_00109.wav,MP3,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,80k,
ALAW-GSM,ex01_default_00005.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-AAC,ex01_default_00182.wav,OPUS,,AAC,,,,,96k,,,,80k,,
ALAW-GSM,ex01_default_00250.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MP3-MULAW,ex01_default_emphasis_00115.wav,MP3,,MULAW,,,,64k,,,,,,96k,
AAC-GSM,ex01_default_emphasis_00151.wav,AAC,64k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
ALAW-AAC,ex01_default_emphasis_00003.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,64k,,
ALAW-MP3,ex01_default_emphasis_00141.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,40k
GSM-OPUS,ex01_default_00287.wav,GSM,,OPUS,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",16k,,,
ALAW-AAC,ex01_default_00315.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,64k,,
MULAW-MP3,ex01_default_emphasis_00084.wav,MULAW,,MP3,,,64k,,,,,,,,64k
AAC-MP3,ex01_default_00240.wav,AAC,32k,MP3,,,,,,,,,,,16k
ALAW-MP3,ex01_default_00271.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,32k
ALAW-GSM,ex01_default_emphasis_00058.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-AAC,ex01_default_00006.wav,MULAW,,AAC,,,64k,,,,,,48k,,
GSM-AAC,ex01_default_00292.wav,GSM,,AAC,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,40k,,
MULAW-OPUS,ex01_default_emphasis_00193.wav,MULAW,,OPUS,,,64k,,,,,8k,,,
AAC-GSM,ex01_default_00329.wav,AAC,96k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
MP3-OPUS,ex01_default_00141.wav,MP3,,OPUS,,,,,,,,16k,,8k,
MULAW-GSM,ex02_default_00034.wav,MULAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
ALAW-MP3,ex01_default_00323.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,8k
ALAW-MP3,ex01_default_00161.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,96k
GSM-MULAW,ex01_default_00367.wav,GSM,,MULAW,,,,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
MP3-MULAW,ex01_default_00233.wav,MP3,,MULAW,,,,64k,,,,,,32k,
OPUS-MULAW,ex01_default_00023.wav,OPUS,,MULAW,,,,64k,16k,,,,,,
GSM-OPUS,ex01_default_00345.wav,GSM,,OPUS,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",16k,,,
MULAW-ALAW,ex01_default_essentials_00036.wav,MULAW,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",64k,64k,,,,,,,
MP3-GSM,ex01_default_00269.wav,MP3,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,80k,
MULAW-OPUS,ex01_default_00178.wav,MULAW,,OPUS,,,64k,,,,,64k,,,
OPUS-ALAW,ex01_default_00303.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,32k,,,,,,
ALAW-GSM,ex01_default_00024.wav,ALAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-MP3,ex02_default_00006.wav,AAC,80k,MP3,,,,,,,,,,,16k
GSM-MP3,ex01_default_emphasis_00014.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,40k
OPUS-MULAW,ex01_default_00036.wav,OPUS,,MULAW,,,,64k,24k,,,,,,
ALAW-GSM,ex01_default_emphasis_00055.wav,ALAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-ALAW,ex01_default_emphasis_00113.wav,AAC,32k,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,,
GSM-ALAW,ex01_default_00090.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-ALAW,ex01_default_00278.wav,MULAW,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",64k,64k,,,,,,,
MP3-ALAW,ex01_default_emphasis_00140.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,40k,
ALAW-MP3,ex01_default_00028.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,32k
AAC-MULAW,ex01_default_00216.wav,AAC,64k,MULAW,,,,64k,,,,,,,
AAC-MP3,ex01_default_emphasis_00129.wav,AAC,48k,MP3,,,,,,,,,,,48k
GSM-MP3,ex01_default_emphasis_00191.wav,GSM,,MP3,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,8k
MP3-OPUS,ex01_default_emphasis_00142.wav,MP3,,OPUS,,,,,,,,16k,,96k,
MP3-ALAW,ex01_default_emphasis_00153.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,96k,
OPUS-MULAW,ex02_default_00004.wav,OPUS,,MULAW,,,,64k,5k,,,,,,
AAC-OPUS,ex01_default_emphasis_00073.wav,AAC,40k,OPUS,,,,,,,,96k,,,
MULAW-MP3,ex01_default_00190.wav,MULAW,,MP3,,,64k,,,,,,,,64k
GSM-MULAW,ex01_default_emphasis_00067.wav,GSM,,MULAW,,,,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-AAC,ex01_default_emphasis_00100.wav,OPUS,,AAC,,,,,8k,,,,48k,,
OPUS-AAC,ex01_default_00147.wav,OPUS,,AAC,,,,,96k,,,,96k,,
GSM-ALAW,ex01_default_00120.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-OPUS,ex01_default_00165.wav,AAC,96k,OPUS,,,,,,,,64k,,,
GSM-AAC,ex01_default_emphasis_00108.wav,GSM,,AAC,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,80k,,
ALAW-AAC,ex01_default_emphasis_00045.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,40k,,
MP3-GSM,ex01_default_emphasis_00161.wav,MP3,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,96k,
MULAW-GSM,ex01_default_00184.wav,MULAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
ALAW-OPUS,ex01_default_emphasis_00170.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",96k,,,
